timestamp,frame_num,robot_pos_x,robot_pos_y,robot_pos_z,robot_orient_w,robot_orient_x,robot_orient_y,robot_orient_z,object_pos_x,object_pos_y,object_pos_z,object_orient_w,object_orient_x,object_orient_y,object_orient_z,l1_distance_to_goal
0.000,0,3.6341188,0.4742696,0.4719494,0.45220014,0.0027377051,-0.014708392,0.8917911,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
0.389,1,3.6276236,0.4792535,0.47207224,0.4529103,0.004901751,-0.017729867,0.89136636,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
0.753,2,3.602832,0.49836883,0.476819,0.4249607,0.0018609388,-0.010639546,0.9051474,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
1.120,3,3.5623534,0.53017545,0.4748618,0.36303183,-0.0012581064,0.008109304,0.93174064,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
1.474,4,3.493509,0.56838906,0.4885327,0.28162783,-0.0029549792,-0.0006798384,0.959519,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
1.842,5,3.379307,0.62179077,0.49647763,0.19667096,-0.022386977,0.0015276045,0.9802128,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
2.188,6,3.2495477,0.6653594,0.48914373,0.10879254,-0.005133274,0.0063789682,0.9940308,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
2.555,7,3.0941005,0.6882912,0.48950556,0.022881594,0.013483683,0.014325815,0.9995447,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
2.909,8,2.9186618,0.6839826,0.49260616,-0.060155418,0.017358977,0.0089420015,0.99799806,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
3.269,9,2.7462714,0.6461043,0.49462408,-0.14489362,0.026834834,-0.0040704273,0.989075,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
3.626,10,2.569069,0.57375675,0.49748793,-0.22777382,0.006738834,-0.0137875695,0.9735932,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
3.994,11,2.3994648,0.48479393,0.48361608,-0.3070906,-0.0085100345,0.0011269142,0.95164156,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
4.360,12,2.255942,0.37331533,0.47800007,-0.38423622,0.00948838,0.016030617,0.9230469,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
4.724,13,2.135284,0.22599639,0.49060497,-0.45773703,0.008734787,0.028283328,0.88859475,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
5.085,14,2.0405903,0.06621654,0.4966425,-0.53137887,0.024587622,0.0081838835,0.84673786,0.2832888960838318,-1.0543850660324097,0.48646754026412964,1.0,1.135986416947731e-09,1.351645664636432e-07,0.007313033297175027,7.620677979089507
