timestamp,frame_num,robot_pos_x,robot_pos_y,robot_pos_z,robot_orient_w,robot_orient_x,robot_orient_y,robot_orient_z,object_pos_x,object_pos_y,object_pos_z,object_orient_w,object_orient_x,object_orient_y,object_orient_z,l1_distance_to_goal
0.000,0,-0.13443637,2.9155803,0.4692887,-0.25866193,-0.009097141,-0.0014147037,0.965924,-0.24793744087219238,-1.6778749227523804,0.2145671397447586,1.0,0.0,0.0,0.0,5.315060488796704
0.485,1,-0.14936353,2.9088929,0.46882018,-0.2590547,-0.016272891,0.0029800013,0.96572095,-0.24793744087219238,-1.6778749227523804,0.2145671397447586,1.0,0.0,0.0,0.0,5.315060488796704
0.717,2,-0.17374232,2.8938508,0.4640221,-0.26547757,-0.020904308,-0.0004331533,0.9638904,-0.24793744087219238,-1.6778749227523804,0.2145671397447586,1.0,0.0,0.0,0.0,5.315060488796704
1.031,3,-0.19602698,2.889313,0.46784604,-0.26724157,-0.012080217,-0.0057087843,0.96353704,-0.24793744087219238,-1.6778749227523804,0.2145671397447586,1.0,0.0,0.0,0.0,5.315060488796704
1.347,4,-0.20409705,2.8896594,0.4754805,-0.26541954,-0.0059589646,-0.00068275206,0.9641144,-0.24793744087219238,-1.6778749227523804,0.2145671397447586,1.0,0.0,0.0,0.0,5.315060488796704
1.636,5,-0.20275769,2.8925734,0.47859532,-0.2640749,-0.005585033,0.0008462187,0.9644857,-0.24793744087219238,-1.6778749227523804,0.2145671397447586,1.0,0.0,0.0,0.0,5.315060488796704
