timestamp,frame_num,robot_pos_x,robot_pos_y,robot_pos_z,robot_orient_w,robot_orient_x,robot_orient_y,robot_orient_z,object_pos_x,object_pos_y,object_pos_z,object_orient_w,object_orient_x,object_orient_y,object_orient_z,l1_distance_to_goal
0.000,0,1.6831611,2.426879,0.48128083,-0.30388504,-0.008033478,-0.0009229769,0.9526744,-1.3226557970046997,2.2456493377685547,0.20538094639778137,1.0,0.0,0.0,0.0,7.393663385413186
0.495,1,1.6881273,2.4310148,0.4850219,-0.27261785,-0.020977702,-0.0015940163,0.9618923,-1.3226557970046997,2.2456493377685547,0.20538094639778137,1.0,0.0,0.0,0.0,7.393663385413186
0.823,2,1.6882957,2.4309728,0.4816611,-0.20427954,-0.015860196,-0.0053041573,0.9787698,-1.3226557970046997,2.2456493377685547,0.20538094639778137,1.0,0.0,0.0,0.0,7.393663385413186
1.220,3,1.6904428,2.4323115,0.4856959,-0.11079092,-0.0066524292,-0.009848149,0.9937726,-1.3226557970046997,2.2456493377685547,0.20538094639778137,1.0,0.0,0.0,0.0,7.393663385413186
1.492,4,1.6948432,2.429355,0.4926907,-0.010076524,0.0035078134,-0.010115032,0.99989194,-1.3226557970046997,2.2456493377685547,0.20538094639778137,1.0,0.0,0.0,0.0,7.393663385413186
1.790,5,1.7011337,2.4229805,0.50237375,0.08695558,0.006896738,-0.004110327,0.9961799,-1.3226557970046997,2.2456493377685547,0.20538094639778137,1.0,0.0,0.0,0.0,7.393663385413186
2.093,6,1.704292,2.4245324,0.5186017,0.16132794,0.00015984349,0.002200365,0.98689836,-1.3226557970046997,2.2456493377685547,0.20538094639778137,1.0,0.0,0.0,0.0,7.393663385413186
2.378,7,1.6919891,2.4388285,0.5384507,0.18489829,1.9919937e-06,0.003161634,0.98275256,-1.3226557970046997,2.2456493377685547,0.20538094639778137,1.0,0.0,0.0,0.0,7.393663385413186
2.684,8,1.6620443,2.4724143,0.5441445,0.18975861,0.004641728,0.0060587535,0.9818011,-1.3226557970046997,2.2456493377685547,0.20538094639778137,1.0,0.0,0.0,0.0,7.393663385413186
2.989,9,1.6143631,2.515457,0.52811056,0.19180043,0.0025356468,0.006629929,0.9814083,-1.3226557970046997,2.2456493377685547,0.20538094639778137,1.0,0.0,0.0,0.0,7.393663385413186
