timestamp,frame_num,robot_pos_x,robot_pos_y,robot_pos_z,robot_orient_w,robot_orient_x,robot_orient_y,robot_orient_z,object_pos_x,object_pos_y,object_pos_z,object_orient_w,object_orient_x,object_orient_y,object_orient_z,l1_distance_to_goal
0.000,0,-0.09071087,2.6267977,0.48073027,-0.37633294,-0.0042623687,-0.0014763516,0.92647356,-3.782494068145752,1.1659601926803589,0.4831210672855377,1.0,6.963504385925824e-09,1.6164365254748676e-07,-0.0034381966033261856,4.895610538641747
0.508,1,-0.102502264,2.643872,0.4868886,-0.37823167,-0.0154520795,-0.0013566599,0.925581,-3.782494068145752,1.1659601926803589,0.4831210672855377,1.0,6.963504385925824e-09,1.6164365254748676e-07,-0.0034381966033261856,4.895610538641747
0.788,2,-0.1316546,2.6667821,0.4851871,-0.3829807,-0.018443905,-0.006376217,0.92355025,-3.782494068145752,1.1659601926803589,0.4831210672855377,1.0,6.963504385925824e-09,1.6164365254748676e-07,-0.0034381966033261856,4.895610538641747
1.071,3,-0.18834662,2.6799595,0.48583746,-0.3843107,-0.026011905,-0.0263817,0.92246014,-3.782494068145752,1.1659601926803589,0.4831210672855377,1.0,6.963504385925824e-09,1.6164365254748676e-07,-0.0034381966033261856,4.895610538641747
1.359,4,-0.27427354,2.6855884,0.49024215,-0.39124727,-0.05165008,-0.018380139,0.9186512,-3.782494068145752,1.1659601926803589,0.4831210672855377,1.0,6.963504385925824e-09,1.6164365254748676e-07,-0.0034381966033261856,4.895610538641747
1.624,5,-0.36760023,2.7080507,0.49382615,-0.38187703,-0.053497832,-0.010615183,0.9226025,-3.782494068145752,1.1659601926803589,0.4831210672855377,1.0,6.963504385925824e-09,1.6164365254748676e-07,-0.0034381966033261856,4.895610538641747
1.904,6,-0.46179527,2.7377017,0.49446374,-0.3431533,-0.03264276,-0.014342412,0.93860245,-3.782494068145752,1.1659601926803589,0.4831210672855377,1.0,6.963504385925824e-09,1.6164365254748676e-07,-0.0034381966033261856,4.895610538641747
2.181,7,-0.5164747,2.7658162,0.5063407,-0.2707406,-0.010560401,-0.013944912,0.9624934,-3.782494068145752,1.1659601926803589,0.4831210672855377,1.0,6.963504385925824e-09,1.6164365254748676e-07,-0.0034381966033261856,4.895610538641747
2.465,8,-0.5458974,2.791967,0.5131047,-0.17731218,-0.004090394,-0.006637037,0.9841238,-3.782494068145752,1.1659601926803589,0.4831210672855377,1.0,6.963504385925824e-09,1.6164365254748676e-07,-0.0034381966033261856,4.895610538641747
2.731,9,-0.56488055,2.810428,0.5080522,-0.08146258,-0.00030062985,-0.0071189096,0.996651,-3.782494068145752,1.1659601926803589,0.4831210672855377,1.0,6.963504385925824e-09,1.6164365254748676e-07,-0.0034381966033261856,4.895610538641747
3.008,10,-0.5761481,2.8202438,0.50522834,0.016278341,0.0026773198,-0.012988196,0.9997796,-3.782494068145752,1.1659601926803589,0.4831210672855377,1.0,6.963504385925824e-09,1.6164365254748676e-07,-0.0034381966033261856,4.895610538641747
3.298,11,-0.579244,2.8247705,0.5082073,0.115135886,0.0025033737,-0.010733092,0.99328864,-3.782494068145752,1.1659601926803589,0.4831210672855377,1.0,6.963504385925824e-09,1.6164365254748676e-07,-0.0034381966033261856,4.895610538641747
