timestamp,frame_num,robot_pos_x,robot_pos_y,robot_pos_z,robot_orient_w,robot_orient_x,robot_orient_y,robot_orient_z,object_pos_x,object_pos_y,object_pos_z,object_orient_w,object_orient_x,object_orient_y,object_orient_z,l1_distance_to_goal
0.001,0,-0.68787086,-2.8454394,0.46628532,0.96983904,-0.0031945733,0.0064088916,0.24364108,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
0.398,1,-0.6770132,-2.840259,0.46474773,0.96985674,-0.0021800497,0.0096804295,0.24347374,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
0.790,2,-0.6477126,-2.8261468,0.46770084,0.9682963,-0.0018253778,0.01763959,0.24917418,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
1.190,3,-0.5878484,-2.7949612,0.47593272,0.9681053,-0.006870135,0.026199318,0.24907511,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
1.593,4,-0.49090806,-2.7382605,0.48719275,0.9670998,-0.001641996,0.02837422,0.25280473,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
2.005,5,-0.3816948,-2.667085,0.49172574,0.9687217,0.009523432,0.0002949461,0.24796684,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
2.396,6,-0.25838587,-2.5796444,0.489334,0.9746265,0.0114266295,-0.01719896,0.22288342,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
2.794,7,-0.119098686,-2.4929292,0.4962571,0.9864986,-0.008292071,-0.029359046,0.16090353,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
3.187,8,0.036345262,-2.4342287,0.5082262,0.9958815,-0.0114033595,-0.023466852,0.08682972,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
3.588,9,0.22438234,-2.4041822,0.5163485,0.999797,-0.0012272741,0.0034468644,0.019816164,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
3.997,10,0.41278768,-2.3947892,0.5011059,0.9982368,0.0025516038,0.004734326,-0.059113618,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
4.397,11,0.5963642,-2.4187543,0.4891382,0.99090916,0.005871923,-0.003605607,-0.13435623,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
4.833,12,0.7817794,-2.4756613,0.4893136,0.9836545,0.012464153,0.005739002,-0.17954299,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
5.220,13,0.95769477,-2.5438857,0.4993974,0.9832624,0.0055939946,-0.008371438,-0.18191671,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
5.621,14,1.1451162,-2.6183035,0.50782627,0.9893645,0.017147196,-0.025241202,-0.14222068,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
6.011,15,1.3370622,-2.6774983,0.50365067,0.99647796,0.012067767,-0.022889258,-0.079763204,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
6.418,16,1.5339965,-2.7021313,0.5010911,0.99977785,-0.0022686701,-0.02081775,-0.002383435,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
6.827,17,1.7418542,-2.705952,0.49014086,0.99763054,-0.0035366062,0.018024841,0.06630234,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
7.261,18,1.9288659,-2.6852927,0.47370708,0.98931867,0.007440426,0.0040742876,0.14552197,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
7.672,19,2.1055899,-2.624111,0.4795916,0.9750487,0.023165511,-0.014880574,0.22027709,4.000000476837158,0.5163080096244812,0.22623920440673828,0.9454217169856394,0.0,0.0,0.0,4.172439668108834
