timestamp,frame_num,robot_pos_x,robot_pos_y,robot_pos_z,robot_orient_w,robot_orient_x,robot_orient_y,robot_orient_z,object_pos_x,object_pos_y,object_pos_z,object_orient_w,object_orient_x,object_orient_y,object_orient_z,l1_distance_to_goal
0.001,0,-1.829214,1.1843399,0.483634,0.8955517,0.0041687205,0.004882004,-0.4449112,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
0.450,1,-1.8199085,1.1719309,0.48483825,0.89724874,0.013567357,0.0087027475,-0.44123122,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
0.880,2,-1.7972137,1.1427863,0.49994552,0.912797,0.016691105,0.001389169,-0.40807,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
1.321,3,-1.7546519,1.0917767,0.5155078,0.9378432,0.017569432,-0.018092578,-0.34614164,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
1.739,4,-1.6957188,1.0252409,0.5160099,0.9645441,0.022976663,-0.023998221,-0.26182213,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
2.167,5,-1.6175531,0.97041994,0.50821686,0.9836746,-0.0026011872,-0.017388511,-0.17909595,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
2.586,6,-1.5012591,0.9379769,0.5002259,0.9956942,-0.0201208,-0.014274511,-0.089355476,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
2.993,7,-1.3461703,0.9185311,0.49286518,0.99961925,-0.016517393,0.019966142,-0.009484957,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
3.426,8,-1.1823983,0.9214273,0.48241857,0.998009,-0.032734312,0.008788024,0.053191278,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
3.844,9,-0.9969252,0.9526923,0.48751166,0.9963858,-0.02557028,0.012723432,0.07999793,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
4.257,10,-0.8170493,0.9941367,0.49518782,0.994746,-0.013024646,-0.010599861,0.10098742,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
4.713,11,-0.6326669,1.046089,0.504264,0.99298555,-0.0015321458,-0.020389725,0.11645493,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
5.126,12,-0.44427332,1.0981187,0.5095222,0.9925534,-0.0051030163,-0.0033776003,0.12165658,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
5.532,13,-0.2593561,1.144197,0.5099845,0.9926903,-0.0027138134,-0.007988503,0.1203939,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
5.952,14,-0.057121057,1.1911865,0.51710975,0.99302894,-0.004650743,0.0012861311,0.11777204,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
6.376,15,0.1400281,1.2393938,0.5081774,0.99288595,-0.003381549,-0.00063939387,0.1190203,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
6.820,16,0.3279964,1.2884427,0.49746072,0.9925916,0.0036619562,-0.01213807,0.12083492,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
7.291,17,0.52178013,1.3342637,0.5005932,0.99228567,0.0032240683,-0.001457087,0.12392186,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
7.743,18,0.71133035,1.3783484,0.49985468,0.9910839,0.008116649,0.0028539395,0.13296117,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
8.190,19,0.8970537,1.4267296,0.49872598,0.9865396,0.007204164,-0.015533827,0.16262358,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
8.620,20,1.0900407,1.488064,0.5073067,0.983504,-0.0017150643,-0.007422965,0.18072638,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
9.052,21,1.2701714,1.5540581,0.5008125,0.9820256,0.0030349744,-0.0099713355,0.18845974,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
9.483,22,1.4425733,1.6306826,0.49266618,0.9811055,0.006420693,-0.021611223,0.19215588,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
9.915,23,1.620111,1.708444,0.5050435,0.9838019,-0.0027138551,-0.021113323,0.17799103,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
10.333,24,1.8064747,1.7767915,0.50545436,0.99141854,-0.015466563,-0.01265477,0.12918964,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
10.776,25,2.0112853,1.8297453,0.49985665,0.9976818,-0.007242608,0.00903214,0.06706089,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
11.208,26,2.2087996,1.861518,0.48509693,0.99987763,-0.0021426233,0.003342803,-0.015134263,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
11.656,27,2.3963094,1.85643,0.48139054,0.9953696,-0.0018536393,-0.009851191,-0.09559724,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
12.096,28,2.582812,1.8090014,0.49198526,0.9842187,-0.017000837,-0.013716993,-0.1756028,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
12.541,29,2.7585437,1.7301375,0.5059312,0.9698939,-0.00655097,-0.015002928,-0.24297746,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
12.990,30,2.941617,1.625285,0.51412123,0.9619535,0.0034254408,-0.0016846949,-0.27318648,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
13.428,31,3.0971532,1.5242846,0.5029857,0.95963454,0.0131645175,0.004033676,-0.280913,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
13.882,32,3.2163608,1.4203688,0.4885406,0.9599266,0.0076243565,0.019567087,-0.27946392,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
14.346,33,3.3027215,1.3311418,0.47493044,0.9590166,-0.0034179923,0.020847015,-0.28256154,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
14.792,34,3.3725362,1.2813964,0.46887627,0.9576254,-0.029074876,-0.00026068583,-0.28654528,3.746645212173462,0.12870891392230988,0.4984484910964966,1.0,0.0,0.0,0.0,3.9181722532273655
